us,dt_us,raw,delta,counts,i2c_us,omega,window,cmd,fas,remaining,flags,state,stage,current_ma
198044882,997,1411,1,-1323,262,-244,-228,236,241,544,1,7,3,1650
198045879,997,1412,1,-1324,268,-243,-228,236,241,543,1,7,3,1650
198046898,1019,1414,2,-1326,284,-243,-244,236,241,541,1,7,3,1650
198047842,944,1415,1,-1327,236,-244,-244,236,241,541,1,7,3,1650
198048887,1045,1416,1,-1328,267,-244,-244,236,241,540,1,7,3,1650
198049850,963,1417,1,-1329,231,-244,-244,236,241,539,1,7,3,1650
198050909,1059,1418,1,-1330,288,-244,-244,236,241,538,1,7,3,1650
198051920,1011,1419,1,-1331,304,-244,-244,236,240,537,1,7,3,1650
198052857,937,1420,1,-1332,236,-244,-245,236,239,536,1,7,3,1650
198053842,985,1421,1,-1333,224,-244,-245,236,237,535,1,7,3,1650
198054891,1049,1422,1,-1334,273,-244,-244,236,237,534,1,7,3,1650
198055875,984,1422,0,-1334,257,-243,-228,232,235,534,1,7,3,1650
198056851,976,1423,1,-1335,230,-243,-229,232,236,533,1,7,3,1650
198057835,984,1424,1,-1336,225,-242,-229,232,236,533,1,7,3,1650
198058896,1061,1425,1,-1337,284,-241,-228,232,236,532,1,7,3,1650
198059835,939,1426,1,-1338,222,-241,-229,232,236,531,1,7,3,1650
198060957,1122,1427,1,-1339,333,-240,-228,232,236,530,1,7,3,1650
198062005,1048,1428,1,-1340,391,-240,-227,232,236,529,1,7,3,1650
198062950,945,1429,1,-1341,328,-239,-227,232,236,528,1,7,3,1650
198063883,933,1429,0,-1341,268,-239,-228,232,236,528,1,7,3,1650
198064880,997,1430,1,-1342,258,-238,-228,232,236,527,1,7,3,1650
198065873,993,1432,2,-1344,260,-238,-236,232,236,526,1,7,3,1650
198066893,1020,1433,1,-1345,280,-238,-236,232,236,525,1,7,3,1650
198067855,962,1434,1,-1346,242,-238,-236,232,236,524,1,7,3,1650
198068877,1022,1435,1,-1347,265,-238,-236,232,236,523,1,7,3,1650
198069842,965,1436,1,-1348,233,-238,-236,232,236,522,1,7,3,1650
198070896,1054,1437,1,-1349,281,-238,-236,232,236,521,1,7,3,1650
198071922,1026,1438,1,-1350,307,-238,-244,232,236,520,1,7,3,1650
198072851,929,1439,1,-1351,235,-238,-245,232,236,519,1,7,3,1650
198073840,989,1440,1,-1352,224,-239,-245,232,236,519,1,7,3,1650
198074890,1050,1441,1,-1353,279,-239,-244,232,236,518,1,7,3,1650
198075831,941,1442,1,-1354,220,-239,-245,232,236,517,1,7,3,1650
198076832,1001,1442,0,-1354,224,-239,-237,232,235,517,1,7,3,1650
198077832,1000,1443,1,-1355,223,-239,-229,232,233,516,1,7,3,1650
198078889,1057,1444,1,-1356,269,-238,-228,232,231,515,1,7,3,1650
198079834,945,1445,1,-1357,220,-238,-229,232,231,514,1,7,3,1650
198080961,1127,1446,1,-1358,339,-237,-227,227,232,513,1,7,3,1650
198082011,1050,1447,1,-1359,381,-237,-227,227,232,512,1,7,3,1650
198082942,931,1447,0,-1359,331,-236,-219,227,232,512,1,7,3,1650
198083885,943,1448,1,-1360,266,-236,-219,227,232,512,1,7,3,1650
198084870,985,1449,1,-1361,262,-235,-220,227,232,511,1,7,3,1650
198085872,1002,1450,1,-1362,264,-235,-221,227,232,510,1,7,3,1650
198086900,1028,1451,1,-1363,285,-234,-227,227,232,509,1,7,3,1650
198087856,956,1452,1,-1364,241,-234,-228,227,232,508,1,7,3,1650
198088881,1025,1453,1,-1365,268,-234,-228,227,232,507,1,7,3,1650
198089844,963,1454,1,-1366,228,-234,-228,227,232,506,1,7,3,1650
198090911,1067,1455,1,-1367,290,-233,-228,227,232,505,1,7,3,1650
198091920,1009,1456,1,-1368,303,-233,-229,227,232,504,1,7,3,1650
198092858,938,1458,2,-1370,239,-233,-237,227,232,503,1,7,3,1650
198093846,988,1458,0,-1370,229,-233,-229,227,232,503,1,7,3,1650
198094896,1050,1460,2,-1372,276,-234,-244,227,232,501,1,7,3,1650
198095841,945,1461,1,-1373,224,-234,-244,227,232,500,1,7,3,1650
