t_s,v_revs,decel_revs2,sin_angle,cos_angle
0.3,0.28810076645051197,0.008081936556318208,0.7883464276266089,-0.6152315905806234
0.4,0.28562721839779925,0.024374233493655122,0.6658665030465903,-0.7460709082389589
0.5,0.28319576655341905,0.032366087882707006,0.5219856978699383,-0.852954237470706
0.6,0.2783108551940927,0.056999206924146506,0.3641919542367522,-0.9313239073862624
0.7,0.27099609375,0.05698138606824443,0.19808507845815787,-0.980184830372428
0.8,0.2661331018028079,0.06521779350165957,0.030665871570049776,-0.9995296915654128
0.9,0.26121447671219045,0.06531887306344686,-0.134591181116974,-0.9909012130205199
1.0,0.2514633705358449,0.06500284087162338,-0.2917622541753523,-0.956490871382742
1.1,0.24661514379399563,0.056883518155714796,-0.43720597346034884,-0.8993614049816618
1.2,0.2441204007006803,0.04854122043577529,-0.5695090450003201,-0.821985065352664
1.3,0.23681654785171702,0.040799604579788706,-0.6862013971238254,-0.7274116046540019
1.4,0.23192613524646077,0.04084421883838729,-0.7855132874028823,-0.6188447909722735
1.5,0.22708550305775788,0.04072125615598073,-0.8670514904692915,-0.4982185392726571
1.6,0.2246070754206997,0.0406986901764365,-0.9290734453031654,-0.36989530036553075
1.7,0.22213061016859825,0.03248003969211766,-0.9715038909862501,-0.23702360599437391
1.8,0.21972905988565827,0.03259299487889204,-0.994879176525757,-0.10107138128783878
1.9,0.2124094565948198,0.040649192033370696,-0.9993777248782557,0.035272695065184684
2.0,0.21242999814468533,0.03256030656271965,-0.9857985479153134,0.16793219741329987
2.1,0.20748232504320896,0.04084883462596167,-0.9555943341307724,0.29468537218051005
2.2,0.20264084549225458,0.03239322717784414,-0.9091686362539735,0.41642813407848667
2.3,0.20017876060133943,0.04881980391526024,-0.849760814669279,0.5271684340441898
2.4,0.19534177200711156,0.032368733662480054,-0.7778534042094531,0.6284457666018327
2.5,0.1904153405907394,0.03274375408892638,-0.6961771314914621,0.7178700450557326
2.6,0.19046172648231163,0.0244140625,-0.605511041404333,0.7958369046088779
2.7,0.18551465345989726,0.024357993458797488,-0.5075089910529735,0.8616464611430797
2.8,0.1831378726096844,0.016332110707869184,-0.403838457567662,0.9148303122379426
2.9,0.18307793309819687,0.0244140625,-0.29614079356428175,0.9551442982016474
3.0,0.18303974794367406,5.606904120251481e-05,-0.18454773693862003,0.9828235511987052
3.1,0.18073479255118485,0.00814705595881075,-0.07356456359966586,0.9972904566786903
3.2,0.18059333244881515,-0.008218957725366257,0.04140564097707531,0.999142418724817
3.3,0.1807322854291371,-0.0001496062266663027,0.1543008481470617,0.9880239107739739
