 inÿESP-ROM:esp32s3-20210327
Build:Mar 27 2021
rst:0x1 (POWERON),boot:0x8 (SPI_FAST_FLASH_BOOT)
SPIWP:0xee
mode:DIO, clock div:1
load:0x3fce2820,len:0x10cc
load:0x403c8700,len:0xc2c
load:0x403cb700,len:0x30c0
entry 0x403c88b8
=== SMOOTH RAMP AUDIT: MOTOR DISABLED ===
MATH PASS checks=66778; recorded infeasible capture rejected
# STEP clock before: group=4 timer=4
# STEP clock: 16 MHz correction OK
RAMP hz=2064 a=650 dir=1 edges=3371 expected=3328.6 us=3209291 expected_s=3.2004 EN=1 pass=1
R,50289,100,2061852
R,100289,202,2028396
R,150289,303,1996004
R,200289,402,1963672
R,250289,499,1928640
R,300289,595,1897532
R,350289,689,1865668
R,400289,781,1831500
R,450289,872,1800180
R,500289,961,1766784
R,550289,1049,1733100
R,600289,1135,1703576
R,650289,1219,1670840
R,700289,1302,1638000
R,750289,1383,1605136
R,800289,1463,1572324
R,850289,1540,1540832
R,900289,1617,1508292
R,950289,1691,1476012
R,1000289,1764,1444040
R,1050289,1836,1411432
R,1100289,1905,1379308
R,1150289,1974,1345892
R,1200289,2040,1313196
R,1250289,2105,1280408
R,1300289,2168,1249216
R,1350289,2230,1215804
R,1400289,2290,1183428
R,1450289,2348,1152072
R,1500289,2405,1117940
R,1550289,2460,1086364
R,1600289,2514,1053740
R,1650289,2566,1020928
R,1700289,2616,990096
R,1750289,2665,956936
R,1800289,2712,923360
R,1850289,2757,891264
R,1900289,2801,859844
R,1950289,2843,826444
R,2000289,2884,793648
R,2050289,2923,761032
R,2100289,2960,729924
R,2150289,2996,696864
R,2200289,3030,664008
R,2250289,3062,632108
R,2300289,3093,599880
R,2350289,3122,567212
R,2400289,3150,534472
R,2450289,3176,501756
R,2500289,3200,469924
R,2550289,3223,437060
R,2600289,3244,404528
R,2650289,3264,370916
R,2700289,3281,340136
R,2750289,3298,305620
R,2800289,3312,274572
R,2850289,3325,227684
R,2900289,3337,197316
R,2950289,3346,165124
R,3000289,3355,129936
R,3050289,3361,95416
R,3100289,3366,62436
R,3150289,3369,36040
R,3200289,3371,0
RAMP hz=1600 a=400 dir=0 edges=3274 expected=3240.0 us=4034862 expected_s=4.0250 EN=1 pass=1
R,50860,75,1598720
R,100860,155,1577284
R,150860,233,1557632
R,200860,310,1536096
R,250860,387,1518600
R,300860,462,1498124
R,350860,537,1478196
R,400860,610,1457724
R,450860,682,1437812
R,500860,754,1417432
R,550860,824,1397624
R,600860,894,1377408
R,650860,962,1358692
R,700865,1030,1336896
R,751860,1097,1319260
R,801860,1163,1297856
R,851860,1227,1278772
R,901860,1290,1257860
R,951860,1353,1237620
R,1001860,1414,1217284
R,1051860,1475,1197604
R,1101860,1534,1178548
R,1151860,1593,1158076
R,1201860,1650,1137656
R,1251860,1706,1117940
R,1301860,1762,1098296
R,1351860,1816,1077584
R,1401860,1870,1057640
R,1451860,1922,1037880
R,1501860,1974,1018328
R,1551860,2024,998000
R,1601860,2073,979428
R,1651860,2122,957852
R,1701860,2169,938964
R,1751860,2216,918272
R,1801860,2261,898472
R,1851860,2306,878732
R,1901860,2349,858368
R,1951860,2392,838924
R,2001860,2433,819000
R,2051860,2474,799360
R,2101860,2513,778816
R,2151860,2551,759300
R,2201860,2589,739096
R,2251860,2625,718904
R,2301860,2661,698812
R,2351860,2695,679344
R,2401860,2729,659628
R,2451860,2761,639384
R,2501860,2793,618808
R,2551860,2823,598800
R,2601860,2853,579036
R,2651860,2881,558968
R,2701860,2909,538792
R,2751860,2935,519748
R,2801860,2961,499000
R,2851860,2985,479384
R,2901860,3009,458712
R,2951860,3031,439752
R,3001860,3053,418760
R,3051860,3073,399680
R,3101860,3093,379072
R,3151860,3111,359452
R,3201860,3129,339212
R,3251860,3145,319692
R,3301860,3161,299040
R,3351860,3175,279796
R,3401860,3189,259064
R,3451860,3202,231264
R,3501860,3213,211504
R,3551860,3224,191568
R,3601860,3233,171936
R,3651860,3242,149520
R,3701860,3249,132552
R,3751860,3256,109552
R,3801860,3261,93700
R,3851860,3266,69212
R,3901860,3269,48940
R,3951860,3272,28228
R,4001860,3273,28228
RAMP hz=480 a=100 dir=1 edges=1174 expected=1164.0 us=4815863 expected_s=4.8250 EN=1 pass=1
R,50861,23,479384
R,100861,47,474380
R,150861,70,469480
R,200861,94,464252
R,250861,117,459136
R,300861,139,454132
R,350861,162,449236
R,400861,184,444444
R,450861,207,439364
R,500861,228,434780
R,550861,250,429184
R,600861,271,424448
R,650861,292,419460
R,700861,313,414248
R,750861,334,409500
R,800861,354,404528
R,850861,374,399680
R,900861,394,394632
R,950861,414,389408
R,1000861,433,384612
R,1050861,452,379648
R,1100861,471,374528
R,1150861,490,369548
R,1200861,508,364428
R,1250861,526,359452
R,1300861,544,354860
R,1350861,562,349404
R,1400861,579,344352
R,1450861,596,339672
R,1500861,613,334672
R,1550861,630,329380
R,1600861,646,324464
R,1650861,662,319692
R,1700861,678,314464
R,1750861,694,309404
R,1800861,709,304320
R,1850861,724,299400
R,1900861,739,294636
R,1950861,754,289516
R,2000861,768,284412
R,2050861,782,279484
R,2100861,796,274572
R,2150861,810,269396
R,2200861,823,264408
R,2250861,836,259468
R,2300861,849,254580
R,2350861,862,249500
R,2400861,874,244496
R,2450861,886,237868
R,2500861,898,232772
R,2550861,910,227476
R,2600861,921,223212
R,2650861,932,217580
R,2700861,943,212944
R,2750861,954,207812
R,2800861,964,203084
R,2850861,974,197940
R,2900861,984,192900
R,2950861,994,187404
R,3000861,1003,182748
R,3050861,1012,177808
R,3100861,1021,173128
R,3150861,1030,168008
R,3200861,1038,162440
R,3250861,1046,157428
R,3300861,1054,152436
R,3350861,1062,147752
R,3400861,1069,142856
R,3450861,1076,137892
R,3500861,1083,132552
R,3550861,1090,127288
R,3600861,1096,122428
R,3650861,1102,117480
R,3700861,1108,112208
R,3750861,1114,107756
R,3800861,1119,102964
R,3850861,1124,98036
R,3900861,1129,92728
R,3950861,1134,87108
R,4000861,1138,82452
R,4050861,1142,77444
R,4100861,1146,72084
R,4150861,1150,67824
R,4200861,1153,63224
R,4250861,1156,58300
R,4300861,1159,52920
R,4350861,1162,46848
R,4400861,1164,42400
R,4450861,1166,37424
R,4500861,1168,31612
R,4550861,1170,28280
R,4600861,1171,24508
R,4650861,1172,20004
R,4700861,1173,14140
R,4750861,1174,14140
R,4800861,1174,0
AUDIT PASS ALL;
