us,dt_us,raw,delta,counts,i2c_us,omega,window,cmd,fas,remaining,flags,state,stage,current_ma
683641049,1082,3338,1,-15538,319,-286,-276,267,272,615,1,7,3,1650
683642109,1060,3339,1,-15539,387,-285,-268,267,272,614,1,7,3,1650
683643014,905,3340,1,-15540,292,-284,-268,267,272,613,1,7,3,1650
683643982,968,3341,1,-15541,263,-284,-268,267,272,613,1,7,3,1650
683644990,1008,3343,2,-15543,262,-283,-275,267,270,611,1,7,3,1650
683645987,997,3344,1,-15544,262,-283,-276,267,268,610,1,7,3,1650
683647011,1024,3345,1,-15545,283,-282,-268,267,267,609,1,7,3,1650
683647973,962,3346,1,-15546,252,-282,-268,267,267,608,1,7,3,1650
683649009,1036,3348,2,-15548,288,-282,-276,262,267,606,1,7,3,1650
683649991,982,3349,1,-15549,272,-281,-276,262,267,606,1,7,3,1650
683651024,1033,3350,1,-15550,306,-281,-275,262,267,605,1,7,3,1650
683652034,1010,3352,2,-15552,311,-281,-284,262,267,603,1,7,3,1650
683652949,915,3353,1,-15553,227,-281,-285,262,267,602,1,7,3,1650
683653960,1011,3354,1,-15554,237,-282,-284,262,267,601,1,7,3,1650
683655006,1046,3355,1,-15555,279,-282,-285,262,267,600,1,7,3,1650
683655945,939,3356,1,-15556,223,-282,-284,262,267,599,1,7,3,1650
683656941,996,3357,1,-15557,223,-282,-284,262,267,599,1,7,3,1650
683657946,1005,3358,1,-15558,226,-282,-284,262,267,598,1,7,3,1650
683658984,1038,3359,1,-15559,261,-282,-276,262,267,597,1,7,3,1650
683659944,960,3360,1,-15560,226,-281,-276,262,267,596,1,7,3,1650
683661065,1121,3361,1,-15561,334,-281,-268,262,267,595,1,7,3,1650
683662102,1037,3362,1,-15562,380,-280,-268,262,267,594,1,7,3,1650
683663029,927,3364,2,-15564,298,-280,-276,262,267,592,1,7,3,1650
683663987,958,3365,1,-15565,265,-280,-276,262,267,592,1,7,3,1650
683664994,1007,3366,1,-15566,261,-280,-275,262,267,591,1,7,3,1650
683665985,991,3367,1,-15567,259,-280,-276,262,267,590,1,7,3,1650
683667013,1028,3368,1,-15568,280,-280,-276,262,267,589,1,7,3,1650
683667985,972,3369,1,-15569,247,-279,-276,262,267,588,1,7,3,1650
683668998,1013,3370,1,-15570,265,-279,-268,262,265,587,1,7,3,1650
683669967,969,3372,2,-15572,247,-279,-285,262,265,585,1,7,3,1650
683671010,1043,3373,1,-15573,281,-279,-283,262,263,584,1,7,3,1650
683672040,1030,3374,1,-15574,308,-280,-284,262,261,584,1,7,3,1650
683672948,908,3375,1,-15575,230,-280,-285,262,262,583,1,7,3,1650
683673989,1041,3376,1,-15576,260,-280,-285,256,262,582,1,7,3,1650
683675018,1029,3377,1,-15577,292,-280,-276,256,262,581,1,7,3,1650
683675951,933,3378,1,-15578,230,-280,-276,256,262,580,1,7,3,1650
683676952,1001,3379,1,-15579,223,-280,-276,256,262,579,1,7,3,1650
683677958,1006,3380,1,-15580,227,-279,-276,256,262,578,1,7,3,1650
683678977,1019,3381,1,-15581,259,-279,-276,256,262,577,1,7,3,1650
683679960,983,3382,1,-15582,229,-279,-268,256,262,577,1,7,3,1650
