record,done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
D,21988101,1002,883,0,3301,248,0,0,0,0,0,01,0,0,0,0,21988138,801D001D,1048575,1,00,03
D,21989271,1170,883,0,3301,316,0,0,0,0,0,01,0,0,0,0,21989406,801D001D,1048575,580,00,03
D,21990219,948,883,0,3301,359,0,0,0,0,0,01,0,0,0,0,21990325,801D001D,1048575,1480,00,03
D,21991188,969,883,0,3301,323,0,0,0,0,0,01,0,0,0,0,21991250,801D001D,1048575,2388,00,03
D,21992142,954,883,0,3301,274,0,0,0,0,0,01,0,0,0,0,21992200,801D001D,1048575,3341,00,03
D,21993174,1032,883,0,3301,313,0,0,0,0,0,01,0,0,0,0,21993237,801D001D,1048575,4375,00,03
D,21994130,956,883,0,3301,275,0,0,0,0,0,01,0,0,0,0,21994189,801D001D,1048575,5330,00,03
D,21995178,1048,883,0,3301,314,0,0,0,0,0,01,0,0,0,0,21995236,801D001D,1048575,6373,00,03
D,21996144,966,883,0,3301,276,0,0,0,0,0,01,0,0,0,0,21996205,801D001D,1048575,7346,00,03
D,21997161,1017,883,0,3301,302,0,0,0,0,0,01,0,0,0,0,21997217,801D001D,1048575,8355,00,03
D,21998154,993,883,0,3301,287,0,0,0,0,0,01,0,0,0,0,21998213,801D001D,1048575,9355,00,03
D,21999159,1005,883,0,3301,300,0,0,0,0,0,01,0,0,0,0,21999217,801D001D,1048575,10354,00,03
D,22000182,1023,883,0,3301,329,0,0,0,0,0,01,0,0,0,0,22000277,801D001D,1048575,11424,00,03
D,22001105,923,883,0,3301,248,0,0,0,0,0,01,0,0,0,0,22001137,801D001D,1048575,12272,00,03
D,22002086,981,883,0,3301,233,0,0,0,0,0,01,0,0,0,0,22002117,801D001D,1048575,13251,00,03
D,22003106,1020,883,0,3301,237,0,0,0,0,0,01,0,0,0,0,22003141,801D001D,1048575,14275,00,03
D,22004093,987,883,0,3301,233,0,0,0,0,0,01,0,0,0,0,22004121,801D001D,1048575,15256,00,03
D,22005109,1016,883,0,3301,240,0,0,0,0,0,01,0,0,0,0,22005145,801D001D,1048575,16279,00,03
D,22006099,990,883,0,3301,232,0,0,0,0,0,01,0,0,0,0,22006129,801D001D,1048575,17263,00,03
D,22007096,997,883,0,3301,233,0,0,0,0,0,01,0,0,0,0,22007130,801D001D,1048575,18265,00,03
D,22008122,1026,883,0,3301,255,0,0,0,0,0,01,0,0,0,0,22008158,801D001D,1048575,19296,00,03
D,22009170,1048,883,0,3301,313,0,0,0,0,0,01,0,0,0,0,22009253,801D001D,1048575,20401,00,03
D,22010221,1051,883,0,3301,365,0,0,0,0,0,01,0,0,0,0,22010329,801D001D,1048575,21502,00,03
D,22011178,957,883,0,3301,319,0,0,0,0,0,01,0,0,0,0,22011245,801D001D,1048575,22386,00,03
D,22012175,997,883,0,3301,309,0,0,0,0,0,01,0,0,0,0,22012242,801D001D,1048575,23384,00,03
D,22013171,996,883,0,3301,304,0,0,0,0,0,01,0,0,0,0,22013231,801D001D,1048575,24370,00,03
D,22014164,993,883,0,3301,298,0,0,0,0,0,01,0,0,0,0,22014230,801D001D,1048575,25370,00,03
D,22015172,1008,883,0,3301,310,0,0,0,0,0,01,0,0,0,0,22015232,801D001D,1048575,26371,00,03
D,22016156,984,883,0,3301,290,0,0,0,0,0,01,0,0,0,0,22016221,801D001D,1048575,27362,00,03
D,22017139,983,883,0,3301,283,0,0,0,0,0,01,0,0,0,0,22017204,801D001D,1048575,28345,00,03
D,22018173,1034,883,0,3301,309,0,0,0,0,0,01,0,0,0,0,22018238,801D001D,1048575,29378,00,03
D,22019155,982,883,0,3301,284,0,0,0,0,0,01,0,0,0,0,22019219,801D001D,1048575,30358,00,03
D,22020189,1034,883,0,3301,334,0,0,0,0,0,01,0,0,0,0,22020288,801D001D,1048575,31436,00,03
D,22021095,906,883,0,3301,242,0,0,0,0,0,01,0,0,0,0,22021126,801D001D,1048575,32259,00,03
D,22022094,999,883,0,3301,234,0,0,0,0,0,01,0,0,0,0,22022130,801D001D,1048575,33264,00,03
D,22023096,1002,883,0,3301,231,0,0,0,0,0,01,0,0,0,0,22023128,801D001D,1048575,34262,00,03
D,22024100,1004,883,0,3301,239,0,0,0,0,0,01,0,0,0,0,22024135,801D001D,1048575,35269,00,03
D,22025105,1005,883,0,3301,236,0,0,0,0,0,01,0,0,0,0,22025141,801D001D,1048575,36277,00,03
D,22026092,987,883,0,3301,232,0,0,0,0,0,01,0,0,0,0,22026124,801D001D,1048575,37258,00,03
D,22027089,997,883,0,3301,232,0,0,0,0,0,01,0,0,0,0,22027122,801D001D,1048575,38256,00,03
D,22028107,1018,883,0,3301,253,0,0,0,0,0,01,0,0,0,0,22028147,801D001D,1048575,39286,00,03
D,22029188,1081,883,0,3301,315,0,0,0,0,0,01,0,0,0,0,22029282,801D001D,1048575,40452,00,03
D,22030229,1041,883,0,3301,368,0,0,0,0,0,01,0,0,0,0,22030332,801D001D,1048575,41495,00,03
D,22031192,963,883,0,3301,324,0,0,0,0,0,01,0,0,0,0,22031259,801D001D,1048575,42399,00,03
D,22032161,969,883,0,3301,304,0,0,0,0,0,01,0,0,0,0,22032221,801D001D,1048575,43362,00,03
D,22033186,1025,883,0,3301,317,0,0,0,0,0,01,0,0,0,0,22033242,801D001D,1048575,44379,00,03
D,22034147,961,883,0,3301,292,0,0,0,0,0,01,0,0,0,0,22034211,801D001D,1048575,45352,00,03
D,22035181,1034,883,0,3301,313,0,0,0,0,0,01,0,0,0,0,22035237,801D001D,1048575,46374,00,03
D,22036153,972,883,0,3301,283,0,0,0,0,0,01,0,0,0,0,22036219,801D001D,1048575,47360,00,03
D,22037140,987,883,0,3301,285,0,0,0,0,0,01,0,0,0,0,22037198,801D001D,1048575,48336,00,03
D,22038173,1033,883,0,3301,304,0,0,0,0,0,01,0,0,0,0,22038239,801D001D,1048575,49378,00,03
D,22039141,968,883,0,3301,284,0,0,0,0,0,01,0,0,0,0,22039200,801D001D,1048575,1,00,03
D,22040248,1107,883,0,3301,332,0,0,0,0,0,01,0,0,0,0,22040345,801D001D,1048575,542,00,03
D,22041095,847,883,0,3301,241,0,0,0,0,0,01,0,0,0,0,22041123,801D001D,1048575,1307,00,03
D,22042095,1000,883,0,3301,234,0,0,0,0,0,01,0,0,0,0,22042131,801D001D,1048575,2317,00,03
D,22043092,997,883,0,3301,229,0,0,0,0,0,01,0,0,0,0,22043120,801D001D,1048575,3304,00,03
D,22044088,996,883,0,3301,234,0,0,0,0,0,01,0,0,0,0,22044123,801D001D,1048575,4308,00,03
D,22045090,1002,883,0,3301,237,0,0,0,0,0,01,0,0,0,0,22045122,801D001D,1048575,5308,00,03
D,22046094,1004,883,0,3301,234,0,0,0,0,0,01,0,0,0,0,22046130,801D001D,1048575,6316,00,03
D,22047092,998,883,0,3301,230,0,0,0,0,0,01,0,0,0,0,22047120,801D001D,1048575,7304,00,03
D,22048102,1010,883,0,3301,248,0,0,0,0,0,01,0,0,0,0,22048144,801D001D,1048575,8334,00,03
D,22049169,1067,883,0,3301,305,0,0,0,0,0,01,0,0,0,0,22049254,801D001D,1048575,9454,00,03
D,22050245,1076,883,0,3301,384,0,0,0,0,0,01,0,0,0,0,22050366,801D001D,1048575,10591,00,03
D,22051171,926,883,0,3301,316,0,0,0,0,0,01,0,0,0,0,22051240,801D001D,1048575,11431,00,03
D,22052171,1000,883,0,3301,311,0,0,0,0,0,01,0,0,0,0,22052239,801D001D,1048575,12432,00,03
D,22053172,1001,883,0,3301,306,0,0,0,0,0,01,0,0,0,0,22053233,801D001D,1048575,13423,00,03
D,22054154,982,883,0,3301,291,0,0,0,0,0,01,0,0,0,0,22054218,801D001D,1048575,14409,00,03
D,22055159,1005,883,0,3301,302,0,0,0,0,0,01,0,0,0,0,22055220,801D001D,1048575,15410,00,03
D,22056161,1002,883,0,3301,291,0,0,0,0,0,01,0,0,0,0,22056224,801D001D,1048575,16416,00,03
D,22057141,980,883,0,3301,282,0,0,0,0,0,01,0,0,0,0,22057207,801D001D,1048575,17399,00,03
D,22058174,1033,883,0,3301,311,0,0,0,0,0,01,0,0,0,0,22058233,801D001D,1048575,18422,00,03
D,22059144,970,883,0,3301,279,0,0,0,0,0,01,0,0,0,0,22059208,801D001D,1048575,19399,00,03
D,22060191,1047,883,0,3301,336,0,0,0,0,0,01,0,0,0,0,22060292,801D001D,1048575,20492,00,03
D,22061103,912,883,0,3301,246,0,0,0,0,0,01,0,0,0,0,22061140,801D001D,1048575,21325,00,03
D,22062100,997,883,0,3301,235,0,0,0,0,0,01,0,0,0,0,22062136,801D001D,1048575,22322,00,03
D,22063085,985,883,0,3301,231,0,0,0,0,0,01,0,0,0,0,22063114,801D001D,1048575,23298,00,03
