0,0
79,-232
159,-459
239,-675
319,-882
399,-1086
480,-1289
559,-1495
639,-1705
719,-1920
799,-2137
879,-2353
959,-2568
1040,-2780
1119,-2989
1199,-3196
1279,-3404
1360,-3615
1439,-3830
1519,-4046
1600,-4260
1679,-4469
1759,-4671
1839,-4865
1919,-5051
1999,-5235
2080,-5419
2160,-5607
2240,-5797
2319,-5991
2400,-6187
2479,-6384
2559,-6579
2640,-6773
2719,-6965
2799,-7156
2879,-7344
2960,-7534
3040,-7726
3119,-7922
3200,-8118
3279,-8312
3359,-8503
3439,-8687
3519,-8864
3599,-9033
3679,-9198
3759,-9361
3839,-9525
3919,-9691
3999,-9860
4079,-10030
4160,-10204
4240,-10379
4320,-10553
4399,-10727
4479,-10900
4559,-11071
4639,-11242
4720,-11411
4799,-11580
4879,-11752
4959,-11925
5040,-12100
5119,-12274
5200,-12445
5279,-12612
5359,-12773
5439,-12929
5519,-13077
5600,-13221
5679,-13362
5759,-13502
5840,-13643
5920,-13785
6000,-13929
6080,-14074
6159,-14222
6239,-14372
6319,-14522
6399,-14672
6479,-14823
6560,-14972
6639,-15122
6719,-15270
6799,-15418
6879,-15564
6959,-15712
7039,-15861
7119,-16012
7199,-16162
7279,-16312
7359,-16460
7440,-16604
7520,-16744
7599,-16879
7680,-17008
7760,-17132
7840,-17251
7919,-17367
8000,-17481
8079,-17594
8159,-17707
8239,-17820
8319,-17935
8399,-18050
8479,-18167
8559,-18285
8639,-18405
8720,-18525
8800,-18647
8879,-18769
8959,-18892
9040,-19015
9120,-19138
9199,-19261
9279,-19384
9359,-19506
9439,-19628
9520,-19750
9599,-19872
9679,-19996
9760,-20119
9839,-20242
9919,-20364
9999,-20484
10080,-20600
10159,-20713
10239,-20823
10319,-20928
10400,-21028
10479,-21124
10559,-21215
10640,-21303
10719,-21387
10799,-21470
10879,-21550
10959,-21628
11039,-21706
11120,-21782
11199,-21859
11279,-21936
11359,-22013
11439,-22090
11519,-22168
11599,-22246
11680,-22325
11759,-22406
11839,-22488
11919,-22571
11999,-22654
12079,-22740
12160,-22826
12239,-22913
12320,-23002
12399,-23091
12479,-23181
12560,-23272
12639,-23363
12719,-23454
12799,-23545
12880,-23636
12959,-23727
13039,-23818
13119,-23908
13200,-23999
13280,-24089
13359,-24179
13439,-24268
13520,-24355
13599,-24441
13679,-24524
13759,-24605
13840,-24682
13920,-24756
13999,-24827
14079,-24894
14159,-24957
14239,-25017
14319,-25073
14400,-25125
14479,-25174
14560,-25220
14639,-25262
14719,-25301
14800,-25337
14879,-25371
14959,-25401
15040,-25430
15120,-25457
15199,-25480
15279,-25502
15359,-25521
15439,-25539
15519,-25555
15599,-25568
15679,-25579
15759,-25589
15840,-25597
15919,-25603
15999,-25607
16080,-25610
16160,-25611
16239,-25610
16319,-25608
