record,done_us,dt_good_us,raw,delta,counts,i2c_us,omega_mrev,window_mrev,cmd_mrev,fas_mrev,remain_ddeg,flags_hex,state,stage,current_ma,step_count,step_us,drv_status_hex,tstep,driver_age_us,gstat_hex,pins_hex
D,26978478,1067,653,0,3531,416,0,0,0,0,0,01,0,0,0,0,26978599,811D002D,1048575,45660,00,03
D,26979350,872,653,0,3531,288,0,0,0,0,0,01,0,0,0,0,26979409,811D002D,1048575,46456,00,03
D,26980327,977,653,0,3531,263,0,0,0,0,0,01,0,0,0,0,26980391,811D002D,1048575,47442,00,03
D,26981339,1012,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,26981396,811D002D,1048575,48443,00,03
D,26982343,1004,653,0,3531,272,0,0,0,0,0,01,0,0,0,0,26982415,811D002D,1048575,49466,00,03
D,26983347,1004,653,0,3531,278,0,0,0,0,0,01,0,0,0,0,26983405,811D002D,1048575,1,00,03
D,26984330,983,653,0,3531,258,0,0,0,0,0,01,0,0,0,0,26984411,811D002D,1048575,469,00,03
D,26985340,1010,653,0,3531,279,0,0,0,0,0,01,0,0,0,0,26985402,811D002D,1048575,1460,00,03
D,26986345,1005,653,0,3531,276,0,0,0,0,0,01,0,0,0,0,26986419,811D002D,1048575,2479,00,03
D,26987361,1016,653,0,3531,292,0,0,0,0,0,01,0,0,0,0,26987454,811D002D,1048575,3524,00,03
D,26988361,1000,653,0,3531,301,0,0,0,0,0,01,0,0,0,0,26988450,811D002D,1048575,4514,00,03
D,26989304,943,653,0,3531,247,0,0,0,0,0,01,0,0,0,0,26989344,811D002D,1048575,5394,00,03
D,26990306,1002,653,0,3531,248,0,0,0,0,0,01,0,0,0,0,26990350,811D002D,1048575,6401,00,03
D,26991304,998,653,0,3531,239,0,0,0,0,0,01,0,0,0,0,26991340,811D002D,1048575,7390,00,03
D,26992301,997,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,26992338,811D002D,1048575,8388,00,03
D,26993299,998,653,0,3531,239,0,0,0,0,0,01,0,0,0,0,26993335,811D002D,1048575,9386,00,03
D,26994311,1012,653,0,3531,245,0,0,0,0,0,01,0,0,0,0,26994355,811D002D,1048575,10405,00,03
D,26995306,995,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,26995343,811D002D,1048575,11394,00,03
D,26996330,1024,653,0,3531,260,0,0,0,0,0,01,0,0,0,0,26996411,811D002D,1048575,12472,00,03
D,26997419,1089,653,0,3531,349,0,0,0,0,0,01,0,0,0,0,26997607,811D002D,1048575,13699,00,03
D,26998496,1077,653,0,3531,427,0,0,0,0,0,01,0,0,0,0,26998616,811D002D,1048575,14683,00,03
D,26999335,839,653,0,3531,280,0,0,0,0,0,01,0,0,0,0,26999403,811D002D,1048575,15460,00,03
D,27000325,990,653,0,3531,267,0,0,0,0,0,01,0,0,0,0,27000391,811D002D,1048575,16450,00,03
D,27001330,1005,653,0,3531,273,0,0,0,0,0,01,0,0,0,0,27001391,811D002D,1048575,17449,00,03
D,27002340,1010,653,0,3531,273,0,0,0,0,0,01,0,0,0,0,27002412,811D002D,1048575,18469,00,03
D,27003343,1003,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27003402,811D002D,1048575,19458,00,03
D,27004319,976,653,0,3531,264,0,0,0,0,0,01,0,0,0,0,27004390,811D002D,1048575,20450,00,03
D,27005334,1015,653,0,3531,274,0,0,0,0,0,01,0,0,0,0,27005393,811D002D,1048575,21448,00,03
D,27006338,1004,653,0,3531,274,0,0,0,0,0,01,0,0,0,0,27006411,811D002D,1048575,22469,00,03
D,27007350,1012,653,0,3531,285,0,0,0,0,0,01,0,0,0,0,27007431,811D002D,1048575,23499,00,03
D,27008370,1020,653,0,3531,304,0,0,0,0,0,01,0,0,0,0,27008460,811D002D,1048575,24523,00,03
D,27009303,933,653,0,3531,243,0,0,0,0,0,01,0,0,0,0,27009344,811D002D,1048575,25394,00,03
D,27010305,1002,653,0,3531,245,0,0,0,0,0,01,0,0,0,0,27010348,811D002D,1048575,26399,00,03
D,27011301,996,653,0,3531,237,0,0,0,0,0,01,0,0,0,0,27011337,811D002D,1048575,27388,00,03
D,27012299,998,653,0,3531,237,0,0,0,0,0,01,0,0,0,0,27012336,811D002D,1048575,28386,00,03
D,27013297,998,653,0,3531,236,0,0,0,0,0,01,0,0,0,0,27013334,811D002D,1048575,29384,00,03
D,27014311,1014,653,0,3531,244,0,0,0,0,0,01,0,0,0,0,27014355,811D002D,1048575,30406,00,03
D,27015307,996,653,0,3531,237,0,0,0,0,0,01,0,0,0,0,27015343,811D002D,1048575,31394,00,03
D,27016329,1022,653,0,3531,259,0,0,0,0,0,01,0,0,0,0,27016407,811D002D,1048575,32465,00,03
D,27017417,1088,653,0,3531,355,0,0,0,0,0,01,0,0,0,0,27017598,811D002D,1048575,33686,00,03
D,27018469,1052,653,0,3531,412,0,0,0,0,0,01,0,0,0,0,27018594,811D002D,1048575,34662,00,03
D,27019340,871,653,0,3531,285,0,0,0,0,0,01,0,0,0,0,27019398,811D002D,1048575,35455,00,03
D,27020323,983,653,0,3531,267,0,0,0,0,0,01,0,0,0,0,27020385,811D002D,1048575,36443,00,03
D,27021341,1018,653,0,3531,273,0,0,0,0,0,01,0,0,0,0,27021400,811D002D,1048575,37458,00,03
D,27022334,993,653,0,3531,274,0,0,0,0,0,01,0,0,0,0,27022403,811D002D,1048575,38461,00,03
D,27023334,1000,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27023390,811D002D,1048575,39447,00,03
D,27024327,993,653,0,3531,265,0,0,0,0,0,01,0,0,0,0,27024392,811D002D,1048575,40453,00,03
D,27025340,1013,653,0,3531,274,0,0,0,0,0,01,0,0,0,0,27025399,811D002D,1048575,41456,00,03
D,27026343,1003,653,0,3531,271,0,0,0,0,0,01,0,0,0,0,27026414,811D002D,1048575,42472,00,03
D,27027351,1008,653,0,3531,286,0,0,0,0,0,01,0,0,0,0,27027441,811D002D,1048575,43520,00,03
D,27028362,1011,653,0,3531,301,0,0,0,0,0,01,0,0,0,0,27028451,811D002D,1048575,44513,00,03
D,27029302,940,653,0,3531,241,0,0,0,0,0,01,0,0,0,0,27029340,811D002D,1048575,45390,00,03
D,27030317,1015,653,0,3531,247,0,0,0,0,0,01,0,0,0,0,27030360,811D002D,1048575,46411,00,03
D,27031297,980,653,0,3531,237,0,0,0,0,0,01,0,0,0,0,27031334,811D002D,1048575,47384,00,03
D,27032297,1000,653,0,3531,237,0,0,0,0,0,01,0,0,0,0,27032334,811D002D,1048575,48384,00,03
D,27033297,1000,653,0,3531,237,0,0,0,0,0,01,0,0,0,0,27033334,811D002D,1048575,49384,00,03
D,27034312,1015,653,0,3531,243,0,0,0,0,0,01,0,0,0,0,27034355,811D002D,1048575,0,00,03
D,27035307,995,653,0,3531,247,0,0,0,0,0,01,0,0,0,0,27035369,811D002D,1048575,484,00,03
D,27036338,1031,653,0,3531,268,0,0,0,0,0,01,0,0,0,0,27036421,811D002D,1048575,1551,00,03
D,27037420,1082,653,0,3531,348,0,0,0,0,0,01,0,0,0,0,27037599,811D002D,1048575,2763,00,03
D,27038469,1049,653,0,3531,408,0,0,0,0,0,01,0,0,0,0,27038599,811D002D,1048575,3731,00,03
D,27039348,879,653,0,3531,288,0,0,0,0,0,01,0,0,0,0,27039407,811D002D,1048575,4528,00,03
D,27040323,975,653,0,3531,268,0,0,0,0,0,01,0,0,0,0,27040385,811D002D,1048575,5509,00,03
D,27041345,1022,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27041402,811D002D,1048575,6522,00,03
D,27042330,985,653,0,3531,275,0,0,0,0,0,01,0,0,0,0,27042398,811D002D,1048575,7524,00,03
D,27043347,1017,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27043406,811D002D,1048575,8526,00,03
D,27044340,993,653,0,3531,270,0,0,0,0,0,01,0,0,0,0,27044404,811D002D,1048575,9529,00,03
D,27045335,995,653,0,3531,277,0,0,0,0,0,01,0,0,0,0,27045394,811D002D,1048575,10513,00,03
D,27046331,996,653,0,3531,275,0,0,0,0,0,01,0,0,0,0,27046403,811D002D,1048575,11527,00,03
D,27047350,1019,653,0,3531,290,0,0,0,0,0,01,0,0,0,0,27047409,811D002D,1048575,12531,00,03
D,27048369,1019,653,0,3531,302,0,0,0,0,0,01,0,0,0,0,27048463,811D002D,1048575,13590,00,03
D,27049310,941,653,0,3531,247,0,0,0,0,0,01,0,0,0,0,27049347,811D002D,1048575,14460,00,03
D,27050308,998,653,0,3531,248,0,0,0,0,0,01,0,0,0,0,27050349,811D002D,1048575,15463,00,03
D,27051305,997,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27051341,811D002D,1048575,16455,00,03
D,27052304,999,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27052340,811D002D,1048575,17453,00,03
D,27053302,998,653,0,3531,239,0,0,0,0,0,01,0,0,0,0,27053337,811D002D,1048575,18450,00,03
D,27054312,1010,653,0,3531,245,0,0,0,0,0,01,0,0,0,0,27054354,811D002D,1048575,19468,00,03
D,27055296,984,653,0,3531,238,0,0,0,0,0,01,0,0,0,0,27055331,811D002D,1048575,20444,00,03
D,27056321,1025,653,0,3531,263,0,0,0,0,0,01,0,0,0,0,27056407,811D002D,1048575,21530,00,03
D,27057415,1094,653,0,3531,354,0,0,0,0,0,01,0,0,0,0,27057593,811D002D,1048575,22744,00,03
D,27058487,1072,653,0,3531,418,0,0,0,0,0,01,0,0,0,0,27058606,811D002D,1048575,23739,00,03
D,27059352,865,653,0,3531,282,0,0,0,0,0,01,0,0,0,0,27059413,811D002D,1048575,24534,00,03
D,27060338,986,653,0,3531,268,0,0,0,0,0,01,0,0,0,0,27060401,811D002D,1048575,25522,00,03
D,27061342,1004,653,0,3531,275,0,0,0,0,0,01,0,0,0,0,27061401,811D002D,1048575,26522,00,03
D,27062339,997,653,0,3531,276,0,0,0,0,0,01,0,0,0,0,27062410,811D002D,1048575,27531,00,03
D,27063341,1002,653,0,3531,278,0,0,0,0,0,01,0,0,0,0,27063399,811D002D,1048575,28518,00,03
D,27064335,994,653,0,3531,266,0,0,0,0,0,01,0,0,0,0,27064400,811D002D,1048575,29523,00,03
D,27065344,1009,653,0,3531,276,0,0,0,0,0,01,0,0,0,0,27065403,811D002D,1048575,30523,00,03
